66
PID : COMMAND
751 : /lib/systemd/systemd
757 : (sd-pam)
805 : /usr/bin/pulseaudio
807 : /usr/libexec/tracker-miner-fs
811 : /usr/bin/gnome-keyring-daemon
819 : /usr/lib/gdm3/gdm-x-session
823 : /usr/lib/xorg/Xorg
824 : /usr/bin/dbus-daemon
830 : /usr/libexec/gvfsd
835 : /usr/libexec/gvfsd-fuse
842 : /usr/libexec/gvfs-udisks2-volume-monitor
861 : /usr/libexec/gvfs-afc-volume-monitor
866 : /usr/libexec/gvfs-mtp-volume-monitor
871 : /usr/libexec/gvfs-goa-volume-monitor
875 : /usr/libexec/goa-daemon
910 : /usr/libexec/goa-identity-service
916 : /usr/libexec/gvfs-gphoto2-volume-monitor
928 : /usr/libexec/gnome-session-binary
1037 : /usr/bin/ssh-agent
1068 : /usr/libexec/at-spi-bus-launcher
1074 : /usr/bin/dbus-daemon
1103 : /usr/libexec/gnome-session-ctl
1110 : /usr/libexec/gnome-session-binary
1124 : /usr/bin/gnome-shell
1160 : ibus-daemon
1164 : /usr/libexec/ibus-dconf
1165 : /usr/libexec/ibus-extension-gtk3
1167 : /usr/libexec/ibus-x11
1169 : /usr/libexec/ibus-portal
1183 : /usr/libexec/at-spi2-registryd
1187 : /usr/libexec/xdg-permission-store
1192 : /usr/libexec/gnome-shell-calendar-server
1198 : /usr/libexec/evolution-source-registry
1208 : /usr/libexec/evolution-calendar-factory
1222 : /usr/libexec/dconf-service
1231 : /usr/libexec/evolution-addressbook-factory
1247 : /usr/bin/gjs
1257 : /usr/libexec/gvfsd-trash
1270 : /usr/libexec/gsd-a11y-settings
1271 : /usr/libexec/gsd-color
1272 : /usr/libexec/gsd-datetime
1273 : /usr/libexec/gsd-housekeeping
1275 : /usr/libexec/gsd-keyboard
1277 : /usr/libexec/gsd-media-keys
1278 : /usr/libexec/gsd-power
1286 : /usr/libexec/gsd-print-notifications
1287 : /usr/libexec/gsd-rfkill
1288 : /usr/libexec/gsd-screensaver-proxy
1289 : /usr/libexec/gsd-sharing
1293 : /usr/libexec/gsd-smartcard
1295 : /usr/libexec/gsd-sound
1298 : /usr/libexec/gsd-usb-protection
1299 : /usr/libexec/gsd-wacom
1301 : /usr/libexec/gsd-wwan
1302 : /usr/libexec/gsd-xsettings
1327 : /usr/libexec/gsd-disk-utility-notify
1331 : /usr/libexec/evolution-data-server/evolution-alarm-notify
1381 : /usr/libexec/gsd-printer
1396 : /snap/snap-store/481/usr/bin/snap-store
1426 : /usr/libexec/ibus-engine-simple
1431 : /usr/libexec/xdg-document-portal
1935 : /usr/libexec/gvfsd-metadata
1938 : update-notifier
1985 : /usr/libexec/gnome-terminal-server
1993 : bash
